cod_ncm,hscode,cod_pais_origem,urf_cod,via_transp_cod,sgl_uf_import,city_cod,cidade_import,combinacao_202405
90183929,9018,160,0817700,04,SP,3415186,ESPIRITO SANTO DO PINHAL,0
85414025,8541,160,0817700,04,MG,3159605,SANTA RITA DO SAPUCAI,0
85176241,8517,160,0817600,04,SP,3448500,SANTOS,0
87087090,8708,160,0817800,01,MG,3143302,MONTES CLAROS,0
29333992,2933,160,0817800,01,MG,3110905,CAMPANHA,0
87089200,8708,160,0817700,04,SP,3450308,SAO PAULO,1
84439199,8443,160,0817700,04,SP,3454102,TAUBATE,0
29224990,2922,160,0817600,04,MG,3170701,VARGINHA,0
85176234,8517,160,0817700,04,SP,3425904,JUNDIAI,1
84439933,8443,160,0717700,04,RJ,3304557,RIO DE JANEIRO,0
85177900,8517,160,1017801,04,RS,4314100,PASSO FUNDO,0
29156019,2915,160,0817800,01,SP,3454102,TAUBATE,0
29336999,2933,160,0817700,04,SP,3425102,JARDINOPOLIS,0
85177091,8517,160,0817800,01,MG,3125101,EXTREMA,0
85176252,8517,160,0817600,04,SP,3405708,BARUERI,1
85416090,8541,160,0817700,04,RS,4303103,CACHOEIRINHA,0
90181980,9018,160,0817600,04,SP,3405500,BARRETOS,0
87087090,8708,160,1017700,01,RS,4309308,GUAIBA,0
85176900,8517,160,0817600,04,SP,3448708,SAO BERNARDO DO CAMPO,0
85177190,8517,160,0817700,04,RS,4318705,SAO LEOPOLDO,0
85412920,8541,160,0817600,04,SP,3452205,SOROCABA,0
87089990,8708,160,0817800,01,RS,4314902,PORTO ALEGRE,1
